-641461620,7/4/10,429,710,320,,,,,,,,,,,1030,2,0.62,18,2,1,3,24,34.4711,2216,helocrene,,8.23,81,10.1,,0.99,254,0.41,0.436,0.028,0.011,0.115,0.519,1.177,0.024,32.14,37.3,,331.18,48.32,,,0.86
-636807441,10/30/09,453,0.25,40,,,,,,,,,,,40,2,0.038,2,7,2,2,13,36.5029,1379,rheocrene,,,,,,0,258,0.43,0.04,0.17,0.203,0.15,0,1.269,0,,0.4,1.2,,,,,0.562
-632670645,6/2/10,493,29.5,116,84.5,6,,,,,,,,,236,4,1.07,12,4,3,0,19,33.6014,1794,rheocrene,0.01,7.29,407,14.98,253,0.99,260,0.44,0.239,0.067,0.077,0,0,1.025,0.011,49.03,6.29,,1.15,0,,,0.447
-617201477,5/30/10,507,6,59,15,36,,,,,,,,,116,4,1.125,16,12,3,0,31,33.5086,1622,rheocrene,,7.15,827,19.27,458,0,220,0.22,0.067,0.344,0.152,0,0,1.002,0.014,0.12,,,1.23,6.39,,,0.514
-547365662,7/28/10,567,210,84,26,,,,,,,,,,320,3,0.831,48,11,0,0,59,49.3157,1534,hillslope,0.36,7.44,118,5.2,27,0.93,35,0.81,0.751,0.184,0,0,0,0.73,0.079,31.6,135.36,,41.06,25.12,0.21,0.42,1.15
-523934572,8/23/09,407,1.8,8,39,28,,,,,,,,,77,4,1.036,39,5,0,1,45,49.8182,1464,hillslope,0.15,7.83,280,5.4,341,0.96,135,0.25,0.661,0.034,0,0.069,0,0.675,0.047,22.19,2.7,0.56,20.02,4.28,0.21,,1.169
-509231821,7/30/13,1123,29.5,6.5,83,5.5,,,,,,,,,125,4,0.903,12,0,0,0,12,35.2879,2315,rheocrene,,,,,,0,79,0.56,0.126,0,0,0,0,0,0,,0.35,0.42,13.14,0.26,,,0.337
-442878887,9/9/11,1176,102,,,,,,,,,,,,102,1,0,10,5,0,0,15,36.4079,2300,hillslope,,8.1,451,12.5,320,0,27,0.85,0.582,0.52,0,0,0,0.769,0.02,17.34,20.4,,20.52,0.92,0.2,,1.178
-439136219,10/29/10,628,57,83,168,,,,,,,,,,308,3,0.996,15,5,0,0,20,36.1619,1944,rheocrene,,7.33,655,11.3,300,0.84,305,0.69,0.176,0.55,0,0,0.144,0.911,0,11.39,12.49,0.08,29.61,,0.08,0.57,1.064
-423183711,5/8/12,764,38,36,104,,,,,,,,,,178,3,0.967,21,3,1,1,26,35.0954,2065,rheocrene,0.11,6.97,109,10.1,30,1,244,0.36,0.645,0.137,0.151,0.159,0,1.126,0,30.74,14.15,,13.5,25.75,0.74,,1.362
-395685343,8/13/11,844,104,586,112,,,,,,,,,,802,3,0.769,49,1,0,0,50,49.0281,1289,hillslope,3.29,7.62,617,7.7,430,0.97,171,0.05,0.426,0.003,0,0,0,0.124,0.007,60.06,178.86,0.52,36.64,43.69,14.58,6.73,1.369
